#Obj,67,6,21,16,1543769,28,132,35,133,33,141,26,147,27,135,25,133,38,117,50,111,0,0,27,133,35,130,24,146,30,135,18,136,38,123,39,108,48,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,7,27,16,1612049,31,143,46,130,25,149,32,127,29,134,42,116,46,104,46,120,0,0,31,144,45,135,25,150,33,128,30,133,42,121,45,104,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,7,27,0,1665179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,7,27,16,1743155,25,139,34,131,20,148,29,130,18,135,38,122,39,108,49,119,0,0,26,139,34,134,20,149,30,131,18,133,38,123,39,108,48,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,8,27,16,1812373,33,130,46,130,43,135,31,143,30,143,26,144,44,113,46,112,0,0,32,130,46,130,41,141,32,131,22,143,39,140,43,112,48,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,8,27,0,1864539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,8,27,16,1942655,28,132,35,132,36,136,29,140,22,142,20,143,38,121,48,123,0,0,28,131,34,133,33,140,30,133,18,144,32,141,36,122,50,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,9,27,16,2027929,28,130,34,136,31,144,29,130,11,140,37,134,34,126,49,117,0,0,28,131,33,139,31,146,30,132,11,140,38,133,33,127,48,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,9,27,16,2098259,33,133,46,132,39,148,32,126,11,140,42,123,45,114,47,115,0,0,33,131,43,139,32,146,31,129,11,141,42,128,43,115,46,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,9,27,0,2149033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,67,10,27,16,2259509,28,131,35,135,33,141,27,147,28,136,26,133,39,117,50,111,0,0,27,133,35,131,24,145,29,136,21,135,35,130,39,112,49,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,66,10,27,16,2331385,33,133,46,136,42,142,29,147,33,128,39,128,45,111,48,107,0,0,32,136,47,129,31,148,33,133,31,133,42,119,46,106,48,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Obj,65,10,27,0,2380947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
